,City,Temperature,Humidity,Cloudiness,wind_speed,Date,Country,Longitude,Latitude
0,sol-iletsk,28.92,98,100,9.86,1643759269,RU,54.9918,51.1631
1,okha,1.08,90,92,21.09,1643759270,RU,142.9478,53.5739
2,ahipara,75.79,65,100,15.66,1643759270,NZ,173.1667,-35.1667
3,rikitea,78.22,70,89,6.04,1643759072,PF,-134.9692,-23.1203
4,hobart,58.69,47,75,1.99,1643759197,AU,147.3294,-42.8794
5,hermanus,68.9,80,12,5.23,1643759270,ZA,19.2345,-34.4187
6,alta floresta,70.63,96,56,1.9,1643759271,BR,-56.0861,-9.8756
7,kumla,24.26,80,75,10.36,1643759271,SE,15.1434,59.1277
8,vaini,86.16,74,20,9.22,1643759271,TO,-175.2,-21.2
9,nuuk,9.21,85,75,8.05,1643759271,GL,-51.7216,64.1835
10,ushuaia,42.46,81,40,37.98,1643759142,AR,-68.3,-54.8
11,saskylakh,-28.1,100,52,1.77,1643759272,RU,114.0833,71.9167
12,qaanaaq,-21.17,65,89,11.97,1643759272,GL,-69.3632,77.484
13,butaritari,81.97,77,44,11.16,1643759272,KI,172.7902,3.0707
14,bereda,36.59,100,10,2.64,1643759273,ES,-7.5406,43.2686
15,tahoua,62.37,13,49,9.04,1643759273,NE,5.2692,14.8888
16,hokitika,64.49,95,100,16.64,1643759273,NZ,170.9667,-42.7167
17,kodiak,38.71,87,100,10.36,1643759274,US,-152.4072,57.79
18,gharghoda,56.88,42,4,2.46,1643759274,IN,83.35,22.1667
19,carnarvon,75.27,88,86,6.91,1643759274,AU,113.6333,-24.8667
20,solnechnyy,-0.63,96,100,2.04,1643759275,RU,136.6319,50.7214
21,hilo,74.25,84,29,3.0,1643759019,US,-155.09,19.7297
22,bredasdorp,73.35,80,4,1.9,1643759275,ZA,20.0403,-34.5322
23,mormugao,70.86,94,10,2.3,1643759275,IN,73.8,15.4
24,erenhot,-1.25,91,4,5.73,1643759275,CN,111.9767,43.6475
25,yelovo,27.73,94,100,13.8,1643759276,RU,54.9207,57.0538
26,upernavik,-13.34,75,100,6.26,1643759276,GL,-56.1549,72.7868
27,bambous virieux,79.05,100,75,25.32,1643759276,MU,57.7575,-20.3428
28,henties bay,68.86,81,47,2.71,1643759276,NA,14.2845,-22.116
29,gouyave,77.77,83,20,13.8,1643759277,GD,-61.7296,12.1646
30,keti bandar,71.04,73,3,9.51,1643759277,PK,67.4497,24.1447
31,mawlaik,54.07,72,58,0.96,1643759277,MM,94.4167,23.6333
32,kaitangata,82.09,46,94,12.88,1643759163,NZ,169.8464,-46.2817
33,saint george,50.67,20,0,1.99,1643759165,US,-113.5841,37.1041
34,coihaique,66.15,37,75,9.22,1643759190,CL,-72.0662,-45.5752
35,katherine,82.72,74,40,17.27,1643759278,AU,132.2667,-14.4667
36,chuy,63.66,70,0,7.23,1643759278,UY,-53.4616,-33.6971
37,kosh-agach,-18.71,95,42,2.51,1643759278,RU,88.6667,50.0
38,bluff,69.35,74,97,7.74,1643759279,NZ,168.3333,-46.6
39,touros,79.7,77,51,9.6,1643758985,BR,-35.4608,-5.1989
40,punta arenas,50.11,53,40,25.32,1643759116,CL,-70.9167,-53.15
41,cape town,67.28,86,20,1.01,1643759279,ZA,18.4232,-33.9258
42,saint-georges,78.48,83,20,13.8,1643759279,GD,-61.7485,12.0564
43,meadow lake,47.84,25,100,0.67,1643759279,US,-106.5436,34.8014
44,sao filipe,73.72,78,61,9.35,1643759280,CV,-24.4956,14.8961
45,cayenne,74.08,92,75,1.99,1643759084,GF,-52.3333,4.9333
46,avarua,82.45,78,40,14.97,1643759280,CK,-159.775,-21.2078
47,exu,81.01,52,47,3.56,1643759280,BR,-39.7242,-7.5119
